trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
35,False,"{'a': 0.45, 'e': 0.9993875625234886}",30,0,-145.74871004699477,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.45, 'e': 0.9993520699809768}",20,0,-119.50886441692226,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.45, 'e': 0.9993155780864782}",25,0,-139.0842545498294,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
38,False,"{'a': 0.45, 'e': 0.9992780868764849}",35,0,-100.73364564994263,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.45, 'e': 0.999239596388488}",25,0,-138.75750397339306,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
40,False,"{'a': 0.45, 'e': 0.9992001066609779}",30,0,-210.28813183323777,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
41,False,"{'a': 0.45, 'e': 0.9991596177334445}",20,0,-11.802476162552018,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.45, 'e': 0.9991181296463766}",25,0,0.712333608496535,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.45, 'e': 0.9990756424412622}",20,0,-108.55543580972605,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.45, 'e': 0.9990321561605888}",20,0,-87.10814072381771,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
45,False,"{'a': 0.45, 'e': 0.9989876708478425}",20,0,-95.5352038747793,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.45, 'e': 0.9989421865475084}",20,0,-18.30384716550971,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.45, 'e': 0.9988957033050712}",25,8,-90.85433244249845,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 1}",1
48,False,"{'a': 0.45, 'e': 0.9988482211670138}",20,0,-134.4606352474211,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
49,False,"{'a': 0.45, 'e': 0.9987997401808185}",35,0,-268.21068218455264,"{0: 17, 1: 5, 2: 8, 3: 1, 4: 4}",0
50,False,"{'a': 0.45, 'e': 0.9987502603949663}",35,0,-155.30793143571586,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
51,False,"{'a': 0.45, 'e': 0.9986997818589368}",20,0,-154.08244139621178,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
52,False,"{'a': 0.45, 'e': 0.9986483046232089}",20,0,-151.11675489631895,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
53,False,"{'a': 0.45, 'e': 0.9985958287392593}",25,6,-19.141704553809845,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.45, 'e': 0.9985423542595644}",30,8,-123.10705754538225,"{0: 11, 1: 1, 2: 9, 3: 0, 4: 1}",1
55,False,"{'a': 0.45, 'e': 0.9984878812375985}",20,0,-168.00043973574756,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
56,False,"{'a': 0.45, 'e': 0.9984324097278344}",20,0,-150.92582304597593,"{0: 6, 1: 5, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.45, 'e': 0.9983759397857438}",25,0,-154.69198423586738,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
58,False,"{'a': 0.45, 'e': 0.9983184714677966}",25,0,-87.06969618530094,"{0: 17, 1: 0, 2: 5, 3: 3, 4: 0}",0
59,False,"{'a': 0.45, 'e': 0.9982600048314613}",20,0,-113.6927924994848,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
60,False,"{'a': 0.45, 'e': 0.9982005399352042}",20,0,-119.87958551072826,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
